hotel,price,score,avg review,reviews count
Riad Marwa Marrakech,MAD 3.035,"9,0
Puntuación: 9,0",Fantástico,138
Hotel Central Palace,MAD 778,"7,9
Puntuación: 7,9",Bien,2.969
Hotel Zaitoune,MAD 432,"8,0
Puntuación: 8,0",Muy bien,909
Hôtel Racine,MAD 2.710,"8,2
Puntuación: 8,2",Muy bien,7.726
Casa del Sol Marrakech,MAD 1.051,"8,6
Puntuación: 8,6",Fabuloso,614
Riad Africa,MAD 1.486,"7,9
Puntuación: 7,9",Bien,724
HOTEL EL AMAL,MAD 623,"7,3
Puntuación: 7,3",Bien,73
Ryad Hamza,MAD 2.810,"9,0
Puntuación: 9,0",Fantástico,1.578
Riad Jenan L'mouassine,MAD 1.103,"8,8
Puntuación: 8,8",Fabuloso,291
Riad Tarik,MAD 865,"8,0
Puntuación: 8,0",Muy bien,577
Hotel Zagora,MAD 757,"7,6
Puntuación: 7,6",Bien,1.086
Riad Leila Marrakech,MAD 1.729,"8,4
Puntuación: 8,4",Muy bien,417
Kasbah Red Castel Hostel,MAD 245,"8,8
Puntuación: 8,8",Fabuloso,1.140
Riad Zinoun & Spa 9 Rooms,MAD 2.977,"8,8
Puntuación: 8,8",Fabuloso,285
Fashion Boutique Hotel,MAD 6.397,"9,3
Puntuación: 9,3",Fantástico,589
Majorelle family residence,MAD 4.325,"8,7
Puntuación: 8,7",Fabuloso,426
Hotel Almas,MAD 2.292,"7,9
Puntuación: 7,9",Bien,4.550
Riad Assou,MAD 1.617,"8,7
Puntuación: 8,7",Fabuloso,798
Riad Hayat,MAD 1.764,"8,6
Puntuación: 8,6",Fabuloso,253
Hotel Amalay,MAD 1.211,"6,4
Puntuación: 6,4",Puntuación,777
Riad l'Heure d'Eté,MAD 3.995,"8,6
Puntuación: 8,6",Fabuloso,862
Hostel Dar Ben Youssef,MAD 1.686,"8,4
Puntuación: 8,4",Muy bien,267
El Kennaria,MAD 2.048,"8,1
Puntuación: 8,1",Muy bien,645
Ryad Laârouss,MAD 1.864,"7,5
Puntuación: 7,5",Bien,699
Riad Bjoujna,MAD 2.933,"8,9
Puntuación: 8,9",Fabuloso,457
